Book,Subtitle,Authors,Page Count,Description,Snippet,Publisher
Life At The Bottom,The Worldview That Makes the Underclass,['Theodore Dalrymple'],256,"A searing account of life in the underclass and why it persists as it does, written by a British psychiatrist.","A searing account of life in the underclass and why it persists as it does, written by a British psychiatrist.",Ivan R. Dee
Skagboys,,['Irvine Welsh'],560,"*Number #1 Bestseller** BEFORE TRAINSPOTTING CAME SKAGBOYS Mark Renton has it all: he's good-looking, young, with a pretty girlfriend and a bright future. But there's no room for him in the 1980s and when his family starts to fracture, Mark's life swings out of control. The way out is heroin. It's no better for his friends - Spud Murphy is laid off from his job, Tommy Lawrence finds himself sucked into a life of petty crime, violence and the world of the psychotic Franco Begbie. Only Sick Boy seems to ride the current, scamming and hustling his way through it all. Exhilarating and moving, Skagboys charts their journey from likely lads to young addicts in a decade which changed Britain forever. 'Masterful... its banter, outrage and razor wit sing off the page' Independent 'Funny...visceral and true... Welsh's finest work to date' The Times","Only Sick Boy seems to ride the current, scamming and hustling his way through it all. Exhilarating and moving, Skagboys charts their journey from likely lads to young addicts in a decade which changed Britain forever.",Random House
Religion For Atheists,A non-believer's guide to the uses of religion,['Alain de Botton'],248,"SUNDAY TIMES TOP TEN BESTSELLER NUMBER ONE INTERNATIONAL BESTSELLER From one of our greatest voices in modern philosophy, author of The Course of Love, The Consolations of Philosophy, The Art of Travel and The School of Life 'A serious and optimistic set of practical ideas that could improve and alter the way we live' Jeanette Winterson, The Times 'A beautiful, inspiring book... offering a glimpse of a more enlightened path' Sunday Telegraph 'Smart, stimulating, sensitive. A timely and perceptive appreciation of how much wisdom is embodied in religious traditions and how we godless moderns might learn from it' Financial Times 'There isn't a page in this book that doesn't contain a striking idea or a stimulating parallel' Mail on Sunday Alain de Botton takes us one step further than Dawkins or Hitchens ventured - into a world of ideas beyond the God debate... All of us, whether religious, agnostic or atheist, are searching for meaning. And in this wise and life-affirming book, non-believer Alain de Botton both rejects the supernatural claims of the major religions and points out just how many good ideas they sometimes have about how we should live. And he suggests that non-believers can learn and steal from them. Picking and choosing from the thousands of years of advice assembled by the world's great religions, Alain de Botton presents a range of fascinating ideas and practical insights on art, community, love, friendship, work, life and death. He shows how they can be of use to us all, irrespective of whether we do or don't believe.",A timely and perceptive appreciation of how much wisdom is embodied in religious traditions and how we godless moderns might learn from it' Financial Times 'There isn't a page in this book that doesn't contain a striking idea or a ...,Penguin UK
Unofficial Banksy,,['Martin Bull'],0,Photographs showing some of the locations of graffiti artist Banksy's works.,Photographs showing some of the locations of graffiti artist Banksy's works.,
"Thinking, Fast And Slow",,['Daniel Kahneman'],752,"In this work the author, a recipient of the Nobel Prize in Economic Sciences for his seminal work in psychology that challenged the rational model of judgment and decision making, has brought together his many years of research and thinking in one book. He explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. He exposes the extraordinary capabilities, and also the faults and biases, of fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. He reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our business and our personal lives, and how we can use different techniques to guard against the mental glitches that often get us into trouble. This author's work has transformed cognitive psychology and launched the new fields of behavioral economics and happiness studies. In this book, he takes us on a tour of the mind and explains the two systems that drive the way we think and the way we make choices.",Psychologist Daniel Kahneman reveals the truth about our intuitions and rationality to teach us how to better our lives.,Penguin UK
Solar,,"['A. Bhatnagar', 'William Charles Livingston']",467,"There are several textbooks available on solar astronomy which deal with advanced astrophysical aspects of solar physics, and books which provide very elementary knowledge about the Sun. This book will help to bridge the gap. It aims to stimulate interest in solar astronomy, presenting at one place the basic methods and techniques used in the field, together with the latest findings and the excitement in solar physics. As solar astronomy is becoming very popular among amateur astronomers and laymen, the book provides the practical knowledge to build simple solar telescopes and other equipment for making solar observations. Amateur astronomers have made important contributions to solar astronomy, and this book will help to guide them in their endeavours. The book can also serve as a text for undergraduate and graduate students starting out on solar physics. Using it, graduate students can easily embark on specific topics of research in solar astronomy.","Amateur astronomers have made important contributions to solar astronomy, and this book will help to guide them in their endeavours. The book can also serve as a text for undergraduate and graduate students starting out on solar physics.",World Scientific
Amy My Daughter,,['Mitch Winehouse'],320,ALL AUTHOR PROCEEDS DONATED TO THE AMY WINEHOUSE FOUNDATION.,"Amy Winehouse needs no introduction. A critically acclaimed recording artist, she touched millions with her music during her short but extraordinary life.",HarperCollins UK
Mill On The Floss,,['George Eliot'],344,,,
Quiet,The Power of Introverts in a World That Can't Stop Talking,['Susan Cain'],363,"SUSAN CAIN'S NEW BOOK, BITTERSWEET, IS AVAILABLE TO PRE-ORDER NOW A SUNDAY TIMES AND NEW YORK TIMES BESTSELLER, THIS BOOK WILL CHANGE HOW YOU SEE INTROVERTS - AND YOURSELF - FOREVER. Our lives are driven by a fact that most of us can't name and don't understand. It defines who our friends and lovers are, which careers we choose, and whether we blush when we're embarrassed. That fact is whether we're an introvert or an extrovert. The most fundamental dimension of personality, at least a third of us are introverts, and yet shyness, sensitivity and seriousness are often seen as a negative. Some of the world's most talented people are introverts - without them we wouldn't have the Apple computer, the theory of relativity and Van Gogh's sunflowers. In Quiet, Susan Cain shows how society misunderstands and undervalues introverts while giving them the tools to better understand themselves and take full advantage of their strengths. Passionately argued, superbly researched, and filled with real stories, whether an introvert or extrovert, this book will change how you see human beings for good. ***** 'I can't get Quiet out of my head. It is an important book - so persuasive and timely and heartfelt it should inevitably effect change in schools and offices' Jon Ronson, The Guardian 'Susan Cain's Quiet has sparked a quiet revolution . . . Perhaps rather than sitting back and asking people to speak up, managers and company leaders might lean forward and listen' Megan Walsh, The Times 'Maybe the extrovert ideal is no longer as powerful as it was; perhaps it is time we all stopped to listen to the still, small voice of calm' Daisy Goodwin, The Sunday Times","SUSAN CAIN'S NEW BOOK, BITTERSWEET, IS AVAILABLE TO PRE-ORDER NOW A SUNDAY TIMES AND NEW YORK TIMES BESTSELLER, THIS BOOK WILL CHANGE HOW YOU SEE INTROVERTS - AND YOURSELF - FOREVER.",Penguin UK
Teach Me How To Sit Still,A Skeptic's Search for Health and Healing,['Tim Parks'],338,"""Teach Us to Sit Still is the visceral, thought-provoking, and inexplicably entertaining story of how Tim Parks found himself in serious pain, how doctors failed to help, and the quest he took to find his own way out. Overwhelmed by a crippling conditionwhich nobody could explain or relieve, Parks follows a fruitless journey through the conventional medical system only to find relief in the most unexpected place: a breathing exercise that eventually leads him to take up meditation. This was the very last place Parks anticipated finding answers; he was about as far from New Age as you can get. As everything that he once held true is called into question, Parks confronts the relationship between his mind and body, the hectic modern world that seems to demand all our focus, and his chosen life as an intellectual and writer. He is drawn to consider the effects of illness on the work of other writers, the role of religion in shaping our sense of self, and the influence of sports and art on our attitudes toward health and well-being. Most of us will fall ill at some point; few will describe that journey with the same verve, insight, and radiant intelligence as Tim Parks""--Provided by publisher.","He is drawn to consider the effects of illness on the work of other writers, the role of religion in shaping our sense of self, and the influence of sports and art on our attitudes toward health and well-being.",Rodale
Wuthering Heights,,['Emily Brontë'],499,"Emily Brontë’s “Wuthering Heights” is considered one of the greatest novels ever wrote. It also can be difficult to understand--it is loaded with themes, imagery, and symbols. If you need a little help understanding it, let BookCaps help with this study guide. Along with chapter-by-chapter summaries and analysis, this book features the full text of Brontë's classic novel is also included. BookCap Study Guides are not meant to be purchased as alternatives to reading the book.","If you need a little help understanding it, let BookCaps help with this study guide. Along with chapter-by-chapter summaries and analysis, this book features the full text of Brontë's classic novel is also included.",BookCaps Study Guides
Magical Thinking,,['Joan Didion'],23,"From one of America's iconic writers, a portrait of a marriage and a life – in good times and bad – that will speak to anyone who has ever loved a husband or wife or child. A stunning book of electric honesty and passion.","From one of America's iconic writers, a portrait of a marriage and a life – in good times and bad – that will speak to anyone who has ever loved a husband or wife or child. A stunning book of electric honesty and passion.",HarperCollins UK
How Not To Run A Club,How Not to Run a Club,['Peter Hook'],304,"Legendary musician Peter Hook tells the whole story - the fun, the music, the vast loss of money, the legacy - of Manchester's most iconic nightclub Peter Hook, as co-founder of Joy Division and New Order, has been shaping the course of popular music for thirty years. He provided the propulsive bass guitar melodies of 'Love Will Tear Us Apart' and the bestselling 12-inch single ever, 'Blue Monday' among many other songs. As co-owner of Manchester's Hacienda club, Hook propelled the rise of acid house in the late 1980s, then suffered through its violent fall in the 1990s as gangs, drugs, greed and a hostile police force destroyed everything he and his friends had created. This is his memory of that era and 'it's far sadder, funnier, scarier and stranger' than anyone has imagined. As young and naive musicians, the members of New Order were thrilled when their record label Factory opened a club. Yet as their career escalated, they toured the world and had top ten hits, their royalties were being ploughed into the Hacienda and they were only being paid £20 per week. Peter Hook looked back at that exciting and hilarious time to write HACIENDA. All the main characters appear - Tony Wilson, Barney, Shaun Ryder - and Hook tells it like it was - a rollercoaster of success, money, confusion and true faith.","This is his memory of that era and 'it's far sadder, funnier, scarier and stranger' than anyone has imagined. As young and naive musicians, the members of New Order were thrilled when their record label Factory opened a club.",Simon and Schuster
Farther Away,,['Jonathan Franzen'],336,"The new book of articles and opinion from Jonathan Franzen, author of ‘Freedom’ and ‘The Corrections’.","The new book of articles and opinion from Jonathan Franzen, author of ‘Freedom’ and ‘The Corrections’.",HarperCollins UK
The New Republic,,['Herbert David Croly'],1020,,,
Infinite Jest,,['David Foster Wallace'],1104,"A gargantuan, mind-altering comedy about the Pursuit of Happiness in America Set in an addicts' halfway house and a tennis academy, and featuring the most endearingly screwed-up family to come along in recent fiction, Infinite Jest explores essential questions about what entertainment is and why it has come to so dominate our lives; about how our desire for entertainment affects our need to connect with other people; and about what the pleasures we choose say about who we are. Equal parts philosophical quest and screwball comedy, Infinite Jest bends every rule of fiction without sacrificing for a moment its own entertainment value. It is an exuberant, uniquely American exploration of the passions that make us human — and one of those rare books that renew the idea of what a novel can do. ""The next step in fiction...Edgy, accurate, and darkly witty...Think Beckett, think Pynchon, think Gaddis. Think."" —Sven Birkerts, The Atlantic","A gargantuan, mind-altering comedy about the Pursuit of Happiness in America Set in an addicts' halfway house and a tennis academy, and featuring the most endearingly screwed-up family to come along in recent fiction, Infinite Jest explores ...",Hachette UK
The Psychopath Test,A Journey Through the Madness Industry,['Jon Ronson'],304,"What if society wasn't fundamentally rational, but was motivated by insanity? This thought sets Jon Ronson on an utterly compelling adventure into the world of madness. Along the way, Jon meets psychopaths, those whose lives have been touched by madness and those whose job it is to diagnose it, including the influential psychologist who developed the Psychopath Test, from whom Jon learns the art of psychopath-spotting. A skill which seemingly reveals that madness could indeed be at the heart of everything . . . Combining Jon Ronson's trademark humour, charm and investigative incision, The Psychopath Test is both entertaining and honest, unearthing dangerous truths and asking serious questions about how we define normality in a world where we are increasingly judged by our maddest edges.","Combining Jon Ronson's trademark humour, charm and investigative incision, The Psychopath Test is both entertaining and honest, unearthing dangerous truths and asking serious questions about how we define normality in a world where we are ...",Pan Macmillan
Born Standing Up,A Comic's Life,['Steve Martin'],224,"Steve Martin has been an international star for over thirty years. Here, for the first time, he looks back to the beginning of his career and charmingly evokes the young man he once was. Born in Texas but raised in California, Steve was seduced early by the comedy shows that played on the radio when the family travelled back and forth to visit relatives. When Disneyland opened just a couple of miles away from home, an enchanted Steve was given his first chance to learn magic and entertain an audience. He describes how he noted the reaction to each joke in a ledger - 'big laugh' or 'quiet' - and assiduously studied the acts of colleagues, stealing jokes when needed. With superb detail, Steve recreates the world of small, dark clubs and the fear and exhilaration of standing in the spotlight. While a philosophy student at UCLA, he worked hard at local clubs honing his comedy and slowly attracting a following until he was picked up to write for TV. From here on, Steve Martin became an acclaimed comedian, packing out venues nationwide. One night, however, he noticed empty seats and realised he had 'reached the top of the rollercoaster'. BORN STANDING UP is a funny and riveting chronicle of how Steve Martin became the comedy genius we now know and is also a fascinating portrait of an era.",BORN STANDING UP is a funny and riveting chronicle of how Steve Martin became the comedy genius we now know and is also a fascinating portrait of an era.,Simon and Schuster
Better Angels Of Our Nature,Why Violence Has Declined,['Steven Pinker'],0,"“If I could give each of you a graduation present, it would be this—the most inspiring book I've ever read."" —Bill Gates A provocative history of violence—from the New York Times bestselling author of The Stuff of Thought, The Blank Slate, and Enlightenment Now. Believe it or not, today we may be living in the most peaceful moment in our species' existence. In his gripping and controversial new work, New York Times bestselling author Steven Pinker shows that despite the ceaseless news about war, crime, and terrorism, violence has actually been in decline over long stretches of history. Exploding myths about humankind's inherent violence and the curse of modernity, this ambitious book continues Pinker's exploration of the essence of human nature, mixing psychology and history to provide a remarkable picture of an increasingly enlightened world.","Exploding myths about humankind's inherent violence and the curse of modernity, this ambitious book continues Pinker's exploration of the essence of human nature, mixing psychology and history to provide a remarkable picture of an ...",National Geographic Books
Ode Less Travelled,Unlocking the Poet Within,['Stephen Fry'],384,"If you can speak and read English, you can write poetry. The trick is knowing where to start. Stephen Fry, who has long written poems, and indeed has written long poems, for his own private pleasure, invites you to discover the incomparable delights of metre, rhyme and verse forms. Whether you want to write a Petrarchan sonnet for your lover's birthday, an epithalamion for your sister's wedding or a villanelle excoriating the government's housing policy, The Ode Less Travelled will give you the tools and the confidence to do so. Brimful of enjoyable exercises, witty insights and simple step-by-step advice, The Ode Less Travelled guides the reader towards mastery and confidence in the Mother of the Arts.","The trick is knowing where to start. Stephen Fry, who has long written poems, and indeed has written long poems, for his own private pleasure, invites you to discover the incomparable delights of metre, rhyme and verse forms.",Random House
God Is Not Great,,['Christopher Hitchens'],350,"In god is Not Great Hitchens turned his formidable eloquence and rhetorical energy to the most controversial issue in the world: God and religion. The result is a devastating critique of religious faith god Is Not Great is the ultimate case against religion. In a series of acute readings of the major religious texts, Christopher Hitchens demonstrates the ways in which religion is man-made, dangerously sexually repressive and distorts the very origins of the cosmos. Above all, Hitchens argues that the concept of an omniscient God has profoundly damaged humanity, and proposes that the world might be a great deal better off without 'him'.","In a series of acute readings of the major religious texts, Christopher Hitchens demonstrates the ways in which religion is man-made, dangerously sexually repressive and distorts the very origins of the cosmos.",Atlantic Books Ltd
The Call Of The Weird,Travels in American Subcultures,['Louis Theroux'],,"After a decade of making documentaries about offbeat characters on the fringes of US society, Louis had the urge to return to America and track down the people who most fascinated him. It would be a reunion tour, but this time without the cameras and the sense of performance being filmed inevitably brings. It would allow him to get closer to people, to discover what really motivated them and what had happened to the assorted dreamers, outlaws and eccentrics since he last saw them. On a journey that took him from the porn sets of Los Angeles to the gangsta rappers of Memphis, from a convention of UFO contactees in Arizona to Northern Idaho for a festive get-together of neo-Nazis, he asked what 'weird people' have to tell us about our own secret natures. Had he learned anything about himself by being among them? Do we choose our beliefs or do our beliefs choose us? Louis Theroux's first book is a hilarious, thought-provoking and at times surreal voyage into the heart of weirdness.","Had he learned anything about himself by being among them? Do we choose our beliefs or do our beliefs choose us? Louis Theroux's first book is a hilarious, thought-provoking and at times surreal voyage into the heart of weirdness.",Pan Macmillan
Song Of Achilles,,['Madeline Miller'],386,"Greece in the age of heroes. Patroclus, an awkward young prince, has been exiled to the court of King Peleus and his perfect son Achilles. Despite their differences, Achilles befriends the shamed prince, and as they grow into young men skilled in the arts of war and medicine, their bond blossoms into something deeper - despite the displeasure of Achilles's mother Thetis, a cruel sea goddess. But when word comes that Helen of Sparta has been kidnapped, Achilles must go to war in distant Troy and fulfil his destiny. Torn between love and fear for his friend, Patroclus goes with him, little knowing that the years that follow will test everything they hold dear.","**OVER 1.5 MILLION COPIES SOLD****A 10th ANNIVERSARY SPECIAL EDITION, FEATURING A NEW FOREWORD BY THE AUTHOR**WINNER OF THE ORANGE WOMEN'S PRIZE FOR FICTIONTHE INTERNATIONAL SENSATIONA SUNDAY TIMES AND NEW YORK TIMES BESTSELLER'Captivating' ...",Bloomsbury Publishing
The Child In Time,,['Ian McEwan'],280,"Soon to be on public television starring Benedict Cumberbatch. Stephen Lewis, a successful writer of children's books, is confronted with the unthinkable: his only child, three-year-old Kate, is snatched from him in a supermarket. In one horrifying moment that replays itself over the years that follow, Stephen realizes his daughter is gone. With extraordinary tenderness and insight, Booker Prize-winning author Ian McEwan takes us into the dark territory of a marriage devastated by the loss of a child. Kate's absence sets Stephen and his wife, Julie, on diverging paths as they each struggle with a grief that only seems to intensify with the passage of time. Eloquent and passionate, the novel concludes in a triumphant scene of love and hope that gives full rein to the author's remarkable gifts. The winner of the Whitbread Prize, The Child in Time is an astonishing novel by one of the finest writers of his generation.","Eloquent and passionate, the novel concludes in a triumphant scene of love and hope that gives full rein to the author's remarkable gifts. The Child in Time is an astonishing novel by one of the finest writers of his generation.",Anchor
The Big Screen,The Story of the Movies and What They Did to Us,['David Thomson'],915,"In this triumphant work David Thomson, one of film's greatest living experts and author of The New Biographical Dictionary of Film, tells the enthralling story of the movies and how they have shaped us. Sunday Times, New Statesman, The Times, Guardian, Observer and Independent BOOKS OF THE YEAR Taking us around the globe, through time and across multiple media, Thomson tracks the ways in which we were initially enchanted by this mesmerizing imitation of life and let movies - the stories, the stars, the look - show us how to live. But at the same time he shows us how movies, offering a seductive escape from the everyday reality and its responsibilities, have made it possible for us to evade life altogether. The entranced audience has become a model for powerless citizens trying to pursue happiness by sitting quietly in a dark room. Does the big screen take us out into the world, or merely mesmerize us? That is Thomson's question in this great adventure of a book. A passionate feat of storytelling that is vital to anyone trying to make sense of the age of screens - the age that, more than ever, we are living in.","In this triumphant work David Thomson, one of film's greatest living experts and author of The New Biographical Dictionary of Film, tells the enthralling story of the movies and how they have shaped us.",Penguin UK
The Fabric Of The Cosmos,"Space, Time and the Texture of Reality",['Brian Greene'],811,"We are living in what is often referred to as 'the golden age of cosmology'. The study of string theory has led to progress being made towards the discovery of the Theory of Everything. This book explains how far we have come and speculates on how far we still have to go. Originally published: New York: Alfred A. Knopf; London: Allen Lane, 2004.",'A magnificent challenge to conventional ideas' Financial Times 'I thoroughly enjoyed this book.,Penguin UK
Brando,My Friendship with Marlon Brando,['George Englund'],,,,Polimedia Publishing
The Fabric,The Norwich Textile Industry from 1565,['Ursula Priestley'],54,,,
Understanding Physics,,['Jim Breithaupt'],748,"Revised and improved for all new advanced level syllabuses, this pack pays particular emphasis to the new core and option topics and to the skills necessary to succeed in physics. Hundreds of experiments are discussed and worked examples presented.","Revised and improved for all new advanced level syllabuses, this pack pays particular emphasis to the new core and option topics and to the skills necessary to succeed in physics.",Nelson Thornes
The Whole Equation,A History of Hollywood,['David Thomson'],424,Sample Text,Sample Text,Knopf
Black Dogs,Extraordinary Black Dogs and Why We Can't Forget Them,['Fred Levy'],128,"Combat Black Dog Syndrome worldwide; a portion of all proceeds from Black Dog Project will be donated to black dog rescue. One of Tumblr's most viral blogs of 2014, the Black Dogs Project is a stunning photo series by animal photographer Fred Levy. Known as ""Black Dog Syndrome"" in animal shelters and rescues, it refers to the unfortunate phenomenon that black dogs are frequently the LAST dogs to be adopted and the FIRST dogs to be euthanized in rescue shelters. Animal photographer Fred Levy couldn't believe that it was true, so he began talking with shelters. Not only does the phenomen exist, but he discovered it's an epidemic. Levy decided to turn his camera lens to black dogs, showing the world how beautiful they truly are. He called the photo series, The Black Dogs Project, and the stunning photographs have been shared worldwide, spreading awareness and attention to the problem. A portion of all proceeds for Black Dogs Project will be donated to black dog rescue.","He called the photo series, The Black Dogs Project, and the stunning photographs have been shared worldwide, spreading awareness and attention to the problem.",Race Point Publishing
Monkhouse,,['Joshua Fawcett'],126,,,
